Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
禅与摩托车维修艺术,,,,,Robert M. Pirsig,"Pirsig, Robert M.",,,,,,重庆出版集团,,,2011,,,,,"Ben shu jiang shu le zai yi ge yan re de xia tian,Fu zi liang ren he yue han fu fu qi mo tuo che cong ming ni su da dao jia zhou,Kua yue mei guo da lu,Lv xing de guo cheng yu yi ge qing nian fei de luo yan xiu ke xue ji shu yu xi fang jing dian,Xun qiu zi wo de jie tuo,Yi ji tan xun sheng ming de yi yi de guo cheng xiang hu chuan cha.Yi lu shang fu qin yi yi chang zhe xue xiao tao kuo de xing shi,Jiang jian dao de zi ran jing se,Ye wai lu ying de jing li,Ye wan lü dian de tan hua,Ji che xiu hu ji shu deng deng ri chang sheng huo yu xi fang cong su ge la di yi lai de li xing zhe xue de chan shu yu ping lun xiang jie he,Jin xing le dui xing er shang xue chuan tong de zhu ke ti er yuan lun de fan si,Yi ji dui ke xue yu yi shu,Zhi shi yu jia zhi,Gu dian zhu yi yu lang man zhu yi,Jing shen yu wu zhi,Ji xie lun yu shen mi zhu yi,Xi fang yu dong fang deng xi fang er fen fa hua fen xia de shi wu jian de guan xi de si kao.",,,,,,,,,,,377,,,,,,中文,,,,,,9787229040369,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:17:36.317922115,,,,,,,,Q6ximwEACAAJ,,0,0,0,,http://images.amazon.com/images/P/7229040361.01Z.jpg,
超速學習,,"我這樣做，一個月學會素描，一年學會四種語言，完成MIT四年課程（Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career）",,,史考特•楊,史考特•楊,,,,,,方智,,2020/05/01,2020,,,,Business & Economics,跟著學習之神，依循「超速學習」九大法則， 在短時間內學會任何你想學的，就算再難的技能，也不是難事！ ★《原子習慣》作者詹姆斯•克利爾專文盛讚：「真希望我能早一點擁有這本書。」 ★《深度工作力》作者卡爾．紐波特高度肯定：「這是可以改變人生的超能力。」 ★《紐約時報》《華爾街日報》、Amazon 暢銷書 ★電子書特別收錄超值好禮：《7個超速學習必知訣竅》，讓你快速掌握有效超速學習的小祕訣，以及如何將超速學習法則運用在學業、工作與生活中。 ★更多名人推薦： 許景泰、蔡依橙、謝文憲、艾爾文 《時間越用越有價值》MIT史隆管理學院羅伯•博任 《大腦喜歡這樣學》芭芭拉•歐克莉 《你可以不只是上班族》克里斯•古利博 《想要什麼有什麼》德瑞克•席佛斯 快速學會某件有價值的事，並不是天才的專利，而是每個人都能擁抱的成就。 大多數人不去做，是因為找不到正確的方法，直到現在…… 實證有效！ 網民口耳相傳、國際網路論壇享有盛譽的「學神」， 首度分享他的「超速學習」法則，驚人的學習成就仍在持續累積！ 本書作者史考特•楊曾完成三項令人印象深刻的學習挑戰： 挑戰1：一年內學完麻省理工學院資訊科學四年的課，共計33門線上課程，並通過所有期末考試！ 挑戰2：一年內從零開始，學會使用四種語言：西班牙語、葡萄牙語、中文、韓語。 挑戰3：一個月學會專業素描肖像畫技巧。 他並不是絕世天才，只是掌握了「自學」的正確技巧。本書將分享這位著名的?學神?，如何在短時間內熟悉一項技能的「超速學習」法則。 ●超速學習法，集合科學實證＋真實案例＋親身經驗！ 在這個劇烈變革的時代，成為佼佼者只是一時的，唯有持續不斷自我精進，擁有快速的自主學習能力，才保持領先地位、跟上時局變化。 作者縱覽最新研究，考察其他超速學習者的歷程，並輔導小團隊進行學習計畫，再加上自己的親身經驗，歸結出九大關鍵法則，任何人都能藉此方法成為?超速學習者?，擁抱超乎想像的美好人生！ ★再難都能自學成功的「超速學習」九大法則！ 1. 後設學習：超速學習者懂得在開始學習前先畫出地圖，也會去學習其他人是如何學會自己想擁有的能力。 2. 專心致志：磨利你的刀，專注投入你想做的事。 3. 直截了當：走最短的路。想學外語，第一天就用新語言跟人聊天，想當程式設計師，就親手設計一款app。 4. 反覆操練：攻擊你最大的弱點，不斷練習。 5. 提取記憶：用測驗來學習。學完後，先寫出你剛才學了什麼，輸出有助於進一步輸入。 6. 意見回饋：別閃避重拳，聽取任何你收到的建言。 7. 保留記憶：別往漏水的桶子裡加水。如何提升記住新資訊的能力，如何防止習得的新知識從腦中溜走。 8. 培養直覺：超速學習者都能用很快的直覺來理解新事物，一旦學會，你會一次學得比一次快。 9. 勇於實驗：往舒適圈外探索大量新方法，你會達成許多意想不到的成就。   作者簡介 史考特•楊（Scott H. Young） 今年31歲，28歲之前就因為完成幾項有趣的自學計畫，而聲名大噪，被網友譽為「學神」，包括：用超速學習法一年內學完MIT資訊科學四年課程、一年內學會使用西、葡、中、韓四種語言，一個月學會專業素描肖像畫技巧。目前，這個學習清單仍在不斷追加中。 除了寫作之外，他也是多個線上學習課程教師。 譯者簡介 林慈敏 文化大學新聞系畢。出版編輯資歷近二十年，現為自由譯者與文字工作者。喜愛探索身心靈的奧祕，也喜歡接觸關於大自然、旅行、文學、人文關懷的事物。譯有《醫療靈媒》《往前走的力量》《大商人的祕密》《祖先療癒》等書。,,,,,,,,,,,326,,,,,,中文,,,,,,9789861755533,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/09 13:26:26.852715015,,,,,,,,UALgDwAAQBAJ,,0,0,0,,,
塵世奇谈,,,,,岳乐山,岳乐山,,,,,,山东文艺出版社,,,2004,,,,,"本书以虛无缥缈的空中楼阁作""奇谈"", 为真实的大千世界, 芸芸众生写出了尘世传奇, 书中时间跨越了光绪初年到民国初年的三四十年, 地域包括了大半个中国.全书八百回, 总目录在第一册.",,,,,,,,,,,5538,,,,,,中文,,,,,,9787532920136,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/09 12:38:30.071725845,,,,,,,,tBxoAAAAIAAJ,I文学,0,0,0,,,
程序员的数学,,线性代数和概率统计,,,戴维斯,戴维斯,,,,,,机械工业出版社,,,2018,,,,,"本书以计算机科学的视角,介绍了线性代数和概率论,并包括一些基本的统计知识.书中有很多应用实例,包括:计算机图形学,计算机视觉,机器人,自然语言处理,搜索引擎,机器学习,统计分析,博弈论,图论,科学计算,决策论,编码学,密码学,网络分析,数据压缩和信号处理.",,,,,,,,,,,351,,,,,,中文,,,,,,9787111586685,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 00:52:52.667080879,,,,,,,,Gb8XzgEACAAJ,,0,0,0,,,
程序员的数学,,,,,"结城浩,管杰",结城浩,,,,,,人民邮电出版社,,,2012,,,,,"本书讲解了二进制计数法,逻辑,余数,排列组合,递归,指数爆炸,不可解问题等许多与编程密切相关的数学方法,分析了哥尼斯堡七桥问题,高斯求和方法,汉诺塔,斐波那契数列等经典问题和算法.",,,,,,,,,,,992,,,,,,中文,,,,,,9787115293688,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 00:53:01.678488016,,,,,,,,svh3oAEACAAJ,,0,0,0,,,
程序员的数学,,线性代数,,,"平冈和幸,结城浩,堀玄",平冈和幸,,,,,,人民邮电出版社,,,2012,,,,,"本书用语言和具象的图表深入讲解编程中所需的线性代数.内容包括向量, 矩阵, 行列式, 矩阵求逆, 线性方程, 特征值, 对角化, Jordan标准型, 特征值算法, LU分解等内容.",,,,,,,,,,,356,,,,,,中文,,,,,,9787115417749,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 00:53:47.278932094,,,,,,,,fSqBtAEACAAJ,,0,0,0,,,
存在主义心理治疗,,,,,Irvin D. Yalom,"Yalom, Irvin D.",,,,,,商务印书馆,,,2015,,,,,"本书作者从临床经验,实证性研究,哲学文献以及其他大量资料出发,围绕着四个""生命的终极关怀""——死亡,自由,存在的孤独和无意义——逐一进行深入探讨,阐述每一个存在性关怀的意义,并论述治疗师应该如何通过对它们的理解来进行有效的临床工作.",,,,,,,,,,,573,,,,,,中文,,,,,,9787100110457,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 06:33:31.686809062,,,,,,,,_a_pjwEACAAJ,,0,0,0,,,
大脑操作手册,,N.L.P 概论,,,"帝尔兹,班德勒,帝乐斯,葛瑞德,彭真",帝尔兹,,,,,,世茂出版社,,,1997,,,,,"本书介绍了在学习, 做买卖, 解决问题等行为时, 如何通过了解它的特性以及沟通上的有效性, 速率, 简化程度等, 让它变成有效率及沟通良好的过程.",,,,,,,,,,,400,,,,,,中文,,,,,,9789575296865,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 06:38:12.396620988,,,,,,,,FzdPOAAACAAJ,,0,0,0,,,
大萧条的孩子们,,,,,"Glen H. Elder,埃尔德","Elder, Glen H.",,,,,,译林出版社,,,2002,,,,Depressions,"Ben shu yi 1920~1921 nian chu sheng zu wei gen zong yan jiu dui xiang, Dui yu da xiao tiao jing li dui zhei xie yan jiu dui xiang sheng ming li cheng ge fang mian de ying xiang jin xing zhang qi de zong xiang yan jiu.",,,,,,,,,,,548,,,,,,中文,,,,,,9787806573839,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/25 10:03:19.529072046,,,,,,,,hUOxAAAACAAJ,,0,0,0,,,
登天的感觉,,我在哈佛大学做心理咨询,,,岳晓东,岳晓东,,,,,,上海人民出版社,,,2008,,,,Counseling,"本书生动讲述了作者在哈佛大学所做的10个心理咨询个案,他对每个个案的深入分析和处理技巧,还深入浅出地介绍了心理咨询方面的科学知识。",,,,,,,,,,,176,,,,,,中文,,,,,,9787208076822,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:49:07.742364883,,,,,,,,6qzLOgAACAAJ,,0,0,0,,,
洞察,,精确观察和有效沟通的艺术,,,"赫曼 ((女, Herman, Amy E.))","E.)), 赫曼 ((女, Herman, Amy",,,,,,中信出版集团股份有限公司,,,2018,,,,,"Ben shu zuo zhe tong guo duo fu de yi shu zuo pin he da liang sheng dong de an li,Zhi dao wo men geng di guan cha,Geng di gou tong,Cong er kai fa wo men de wu guan qian neng,Zhong xin shen shi shen bian mao si shu xi de shi wu,Jue cha yuan ben ke neng cuo lou de xin xi he ji yu,Shen zhi ji shi duo bi ke neng cun zai de wei ji.",,,,,,,,,,,378,,,,,,中文,,,,,,9787508683928,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:22:32.561266899,,,,,,,,lOU2xQEACAAJ,,0,0,0,,,
洞见,,"从科学到哲学, 打开人类的认知真相",,,Robert Wright,"Wright, Robert",,,,,,北京联合出版公司,,2020/08/01,2020,,,,Buddhism,"本书是一本通过进化心理学理论来印证佛学观点,进而帮助人们发现更真实的自我,收获人生大智慧的哲学类书籍.本书是美国进化心理学家,全球百位最具影响力思想家之一的罗伯特·赖特多年研究与实践所成,书中以一个现代人的视角,通过进化心理学的知识求证佛陀当初说的关于人类的5大认知真相:1我们的快乐其实是基因设计出来的,基因的设定就是不满足(苦);2快乐和烦恼都是""感觉""(非我);3人本质上是由感觉驱动的(无我);4我们无法客观看待世间万物(空);5我们能够从烦恼和苦中解脱出来(冥想).并教会我们通过正念自控训练冲破大脑错觉,实现与各种感觉的剥离,从而摆脱烦恼与痛苦,变得更智慧,更幸福.",,,,,,,,,,,300,,,,,,中文,,,,,,9787559636164,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/07 16:10:03.720342993,,,,,,,,XvjhzQEACAAJ,,0,0,0,,http://images.amazon.com/images/P/7559636160.01Z.jpg,
发现工作力,,决定面试成败的22个实战案例,,,Marc P. Cosentino,"Cosentino, Marc P.",,,,,,经济管理出版社,,,2004,,,,Applications for positions,"择业是每一个想找到理想工作的人要面临的事情,本书给出22个案例告诉读者如何能通过考官的面试而获得满意的工作。",,,,,,,,,,,132,,,,,,中文,,,,,,9787801629654,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:30:16.912211894,,,,,,,,1SGfAAAACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/8596531-L.jpg,
翻身,,,,,William Hinton,"Hinton, William",,,,,,新采出版社,,,1974,,,,China,,,,,,,,,,,,151,,,,,,中文,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:09:27.562541007,,,,,,,,0jUwAAAAMAAJ,,0,0,0,,,
房思琪的初恋乐园,,,,,林奕含,林奕含,,,,,,贵州人民出版社,,,2020,,,,Chinese fiction,"本书讲述了文学少女房思琪被补习班老师李国华长期性侵,最终精神崩溃的故事.",,,,,,,,,,,255,,,,,,中文,,,,,,9787221123398,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 19:51:04.806660175,,,,,,,,agzgzQEACAAJ,,0,0,0,,,
分析力学讲义,,,,,"甘特马赫,薛问西,锺奉俄",甘特马赫,,,,,,人民教育出版社,,,1964,,,,,,,,,,,,,,,,,,,,,,中文,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 06:59:05.347239017,,,,,,,,U4PDnQEACAAJ,,0,0,0,,,
分析性写作,,,,,罗森瓦塞尔 (美),"(美), 罗森瓦塞尔",,,,,,北京大学出版社,,,2018,,,,,"本书切合教学需要,对如何进行观察与思考,如何组织思想,遣词造句,以及各个学科的规范和要求,都进行了充分的阐述.是美国大学英语写作的经典教材,反映出美国高校写作教学的发展动态.",,,,,,,,,,,264,,,,,,中文,,,,,,9787301296639,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:27:02.407938957,,,,,,,,Ux7hzQEACAAJ,,0,0,0,,,
风暴谜式英语单词速记法,,,,,宋宜昌,宋宜昌,,,,,,科学普及出版社,,,1989,,,,,,,,,,,,,,,,232,,,,,,中文,,,,,,9787110018897,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/09 12:31:44.113183975,,,,,,,,iObSAAAACAAJ,H语言文字,0,0,0,,,
复数的故事,,,,,李忠,李忠,,,,,,科学出版社,,,2011,,,,,"本书用丰富而有趣的历史故事, 讲述了复数----这个人类悟性的自由创造物----是如何产生的, 是如何在200年间引发了数学家们的困惑与迷茫的, 以及人们又如何最终接受了它.本书还介绍了复数在几何, 代数, 数论和分析学中的重要应用, 最后介绍它的进一步推广----""四元数.""",,,,,,,,,,,134,,,,,,中文,,,,,,9787030315229,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/11 13:20:23.383402824,,,,,,,,RxcBnwEACAAJ,O数理化,0,0,0,,,
沟通的艺术,,看入人里看出人外,,,"阿德勒 (美),黄素菲,普罗科特 (美)","(美), 阿德勒",,,,,,世界图书出版公司北京公司,,,2010,,,,,本书内容包括:人际沟通入门;认同:自我的塑造与展现;知觉:看到什么就是什么;情绪:适时适地传达感觉等.,,,,,,,,,,,369,,,,,,中文,,,,,,9787510023125,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/05 02:35:59.957072019,,,,,,,,p036ngEACAAJ,,0,0,0,,http://images.amazon.com/images/P/7510023122.01Z.jpg,
沟通的艺术,,"看入人里, 看出人外",,,"Ronald Brian Adler,阿德勒,李恩,Russell F. Proctor","Adler, Ronald Brian",,,,,,世界图书出版公司北京公司,,,2015,,,,Interpersonal communication,"本书分为""看入人里"", ""看出人外""和""看人之间""三个部分:""看入人里""主要探讨了与沟通者有关的因素, 说明了人际关系的本质, 强调自我在沟通中的角色, 并分析了知觉与情绪在沟通中的重要性;""看出人外""聚焦于沟通者之外信息的传送与接收, 分析了语言的运用和非语言线索的特征, 强调了倾听的重要性;""看人之间""则主要讨论了关系的演变过程, 侧重于亲密关系的区辨, 提出了增进沟通氛围, 处理人际冲突的各种沟通方法.",,,,,,,,,,,14,,,,,,中文,,,,,,9787510077463,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/05 02:36:08.960302829,,,,,,,,dE3wjgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10395480-L.jpg,
孤注一掷,,美国科技巨头的成功经历,,,Malone.,Malone.,,,,,,中央编译出版社,,,2004,,,,Businesspeople,"Ben shu tong guo shi liu wei mei guo ke ji ju tou de chuan qi shen shi he fen dou li cheng, rang ni quan mian le jie ta men zhen shi de sheng huo jing li he xin lu li cheng. ben shu jiang yin ling nin zou ru zhe xie qi ye ju tou men shen mi mo ce de nei xin shi jie, yu ta men jin xing xin ling de dui hua, bing gan shou ta men zui wei qiang jin de xin tiao.",,,,,,,,,,,278,,,,,,中文,,,,,,9787801097255,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2022/02/08 08:29:48.735862016,,,,,,,,KgUxAAAACAAJ,,0,0,0,,,
官仙,,,,,陈风笑,陈风笑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:06:56.010434150,,,,,,,,,,0,0,0,,,
规训与惩罚,,监狱的诞生,,,"福柯,Michel Foucault",福柯,,,,,,生活・讀書・新知三联书店,,,1999,,,,Prison discipline,法国伽利玛出版社授权出版,,,,,,,,,,,378,,,,,,中文,,,,,,9787108012869,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/25 10:04:13.575994014,,,,,,,,4j11AAAAIAAJ,,0,0,0,,,
汉语语法学,,,,,邢福义,邢福义,,,,,,商务印书馆,,,2016,,,,Chinese language,"Ben shu zhu ti bao gua : dao yan ; di yi zhang xiao ju ; di er zhang xiao ju gou jian ; di san zhang xiao ju lian jie : di si zhang yan jiu lun. zhi gen ben tu, gou jian le yi ge xiao ju zhong shu yu fa xi tong. "" zhong shu "" he "" ben wei "" de qu bie, dao yan zhong you chan shi. wei rao "" xiao ju zhong shu "" li nian, ti chu le "" ju guan kong "" "" liang ge san jiao "" deng shuo fa, bing qie zhong shi dui "" yu yan luo ji "" de tan tao.",,,,,,,,,,,517,,,,,,中文,,,,,,9787100121965,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 15:39:51.691653013,,,,,,,,2B9bswEACAAJ,,0,0,0,,,
红星照耀中国,,,,,"斯诺,Edgar Snow",斯诺,,,,,,作家出版社,,,2008,,,,China,"本书是世界上第一本忠实描绘红色中国的著作,使西方世界第一次了解被称为“赤匪”的中国共产党。该书甚至引起了美国总统罗斯福的注意,使罗斯福明白了由中国共产党所领导的一个全新的中国将出现在他面前.",,,,,,,,,,,338,,,,,,中文,,,,,,9787506342292,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/29 02:56:59.714779853,,,,,,,,GD_nPgAACAAJ,,0,0,0,,,
黄金时代,,,,,王小波,王小波,,,,,,陕西师范大学出版社,,,2003,,,,Short Stories,"本书是王小波“时代三部曲”之一,收入《三十而立》、《似水流年》、《革命时期的爱情》、《我的阴阳两界》等五篇小说。",,,,,,,,,,,415,,,,,,中文,,,,,,9787561327470,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:47:26.846642971,,,,,,,,zGtzPAAACAAJ,,0,0,0,,,
